Id,predicted
455,5.6372828
456,5.6231816
457,5.7007382
458,4.993328
459,5.686637
460,5.6466836
461,5.6560844
462,5.674886
463,5.6090804
464,5.6325824
465,5.6114306
466,5.6607848
467,5.6349326
468,5.7054386
469,5.7242402
470,5.6725358
471,5.5902788
472,5.6090804
473,5.6842868
474,5.6889872
475,5.6208314
476,5.6819366
477,5.6490338
478,5.6114306
479,5.6231816
