"","X","temperature","lower","rain","month","yr"
"129",129,20.5,0.8,0,5,1987
"130",130,22.5,6,0,5,1987
"131",131,17.5,2.3,0,5,1987
"132",132,14.8,10,3.7,5,1987
"133",133,13.3,3.3,2.7,5,1987
"134",134,13,5.5,9.4,5,1987
"135",135,13,6,2.4,5,1987
"136",136,11.3,2.8,1.7,5,1987
"137",137,13.8,7,0,5,1987
"138",138,13,7.5,4.9,5,1987
"139",139,12.5,5.5,3.8,5,1987
"140",140,16.5,3.3,0,5,1987
"141",141,13.8,4.3,0,5,1987
"142",142,14.3,5.3,0.1,5,1987
"143",143,13,7,7.4,5,1987
"144",144,12.3,6.8,2.1,5,1987
"145",145,18.3,7.8,0,5,1987
"146",146,18,7.3,0,5,1987
"147",147,22.3,9.3,0.2,5,1987
"148",148,18.3,8.8,0,5,1987
"149",149,17.8,9.3,0.3,5,1987
"150",150,18.3,12.5,0,5,1987
"151",151,19.3,10.8,11.7,5,1987
"152",152,19.8,10.3,0,6,1987
"153",153,19,11,0,6,1987
"154",154,14.5,10,4.7,6,1987
"155",155,17.8,11.3,0.9,6,1987
"156",156,18.5,8,4.3,6,1987
"157",157,15.3,10.5,9.1,6,1987
"158",158,16.3,10.5,0.1,6,1987
"159",159,15.8,10,0.2,6,1987
"160",160,15.3,9,20.8,6,1987
"161",161,12.5,3.3,8,6,1987
"162",162,16.5,9.8,2.9,6,1987
"163",163,16.3,4.5,0.1,6,1987
"164",164,16.8,5.3,0,6,1987
"165",165,15.8,9,0.6,6,1987
"166",166,16.8,5,0,6,1987
"167",167,17.8,4.5,0.8,6,1987
"168",168,15,8.5,4.7,6,1987
"169",169,16,8.5,3,6,1987
"170",170,17.8,11,8.6,6,1987
"171",171,15.5,6.8,2.4,6,1987
"172",172,19.5,9.8,0,6,1987
"173",173,18,8.8,0,6,1987
"174",174,15.8,13.3,8.7,6,1987
"175",175,19.8,11.5,0,6,1987
"176",176,18.5,7.5,1.6,6,1987
"177",177,17.3,12.5,4.2,6,1987
"178",178,21,13.5,0.3,6,1987
"179",179,21.8,15.8,0,6,1987
"180",180,23.8,17.3,0,6,1987
"181",181,27.5,16.5,0,6,1987
"182",182,22.8,10.8,0,7,1987
"183",183,19.3,7.5,0,7,1987
"184",184,22.5,9.5,0,7,1987
"185",185,23.3,7.3,0,7,1987
"186",186,26,8.3,0,7,1987
"187",187,27.5,8.3,0,7,1987
"188",188,28,14.5,0,7,1987
"189",189,23.8,11.5,0,7,1987
"190",190,22.3,10,0,7,1987
"191",191,21,15,0,7,1987
"192",192,25.3,12.8,0,7,1987
"193",193,24,11.5,0,7,1987
"194",194,22.8,10.8,0,7,1987
"195",195,24.8,12,0,7,1987
"196",196,22.8,16,2.3,7,1987
"197",197,21.3,12.8,8.1,7,1987
"198",198,18,12,3.4,7,1987
"199",199,15,12,1.7,7,1987
"200",200,17,12,7.7,7,1987
"201",201,16.5,13.8,7.1,7,1987
"202",202,19.3,13,1,7,1987
"203",203,14.3,13.3,2.9,7,1987
"204",204,17,12.8,0.4,7,1987
"205",205,15.5,9.8,0,7,1987
"206",206,19.3,9.3,0.2,7,1987
"207",207,17.5,7.3,0.5,7,1987
"208",208,18.5,13.3,0.5,7,1987
"209",209,20.3,11.3,0.2,7,1987
"210",210,22.5,15.5,9.9,7,1987
"211",211,21,13.5,0.4,7,1987
"212",212,19,14.5,1,7,1987
"213",213,24.3,13.5,0,8,1987
"214",214,20.8,14,2,8,1987
"215",215,19.5,13,0.7,8,1987
"216",216,20.3,9,0,8,1987
"217",217,17.5,5.8,0.6,8,1987
"218",218,18.5,5.8,0,8,1987
"219",219,19,6.5,0,8,1987
"220",220,18.3,11,0,8,1987
"221",221,16.5,12,0,8,1987
"222",222,19,6.5,0,8,1987
"223",223,20,5.5,0,8,1987
"224",224,18.5,12,2.6,8,1987
"225",225,20.8,15.8,0,8,1987
"226",226,22.5,12.3,0.6,8,1987
"227",227,22,12.3,0,8,1987
"228",228,26,10,0,8,1987
"229",229,27,14.3,0,8,1987
"230",230,23.8,15.8,0.6,8,1987
"231",231,22.3,11,0,8,1987
"232",232,24.3,12.5,0,8,1987
"233",233,27.3,15,0,8,1987
"234",234,28.8,15.3,5.8,8,1987
"235",235,23.3,10.3,22,8,1987
"236",236,20.5,10.5,0,8,1987
"237",237,18.3,10.3,4,8,1987
"238",238,15.3,10.5,12.2,8,1987
"239",239,17,10.5,2.2,8,1987
"240",240,16.5,6.3,0,8,1987
"241",241,24,14,0,8,1987
"242",242,20.3,9,0,8,1987
"243",243,22.3,12.3,0,8,1987
"244",244,19.8,9.8,0,9,1987
"245",245,24.5,16.3,12.9,9,1987
"246",246,19.8,14.8,0.4,9,1987
"247",247,20.8,10,0.4,9,1987
"248",248,20.5,11,6.7,9,1987
"249",249,18.5,10.8,4.5,9,1987
"250",250,18.3,12.8,2,9,1987
"251",251,18.5,6.5,0.2,9,1987
"252",252,19.8,9,0,9,1987
"253",253,19.3,13.8,0.5,9,1987
"254",254,18,10.3,0,9,1987
"255",255,18.5,16,1.3,9,1987
"256",256,20.5,12.8,8,9,1987
"257",257,16.5,9.8,0,9,1987
"258",258,20,8.8,0,9,1987
"259",259,18.5,11.8,0,9,1987
"260",260,19.8,13,0.2,9,1987
"261",261,23.5,14.8,2.4,9,1987
"262",262,19.3,11.8,0.8,9,1987
"263",263,16.8,13,6.2,9,1987
"264",264,22.8,15.8,0,9,1987
"265",265,21.3,12.5,0.1,9,1987
"266",266,18.3,9,0,9,1987
"267",267,19,9.8,10.4,9,1987
"268",268,15.3,5,0,9,1987
"269",269,15.3,2,0,9,1987
"270",270,14.5,3.5,0,9,1987
"271",271,13.5,6.8,0,9,1987
"272",272,13.5,0.8,0,9,1987
"273",273,15.3,5.8,0,9,1987
"274",274,15.5,3.3,0,10,1987
"275",275,16.8,6.3,0,10,1987
"276",276,18.5,12.5,0.1,10,1987
"277",277,17.8,11.8,7,10,1987
"278",278,19.5,11.8,0,10,1987
"279",279,19.5,11,0.2,10,1987
"280",280,15.3,6.3,8.9,10,1987
"281",281,15.3,8.8,18.8,10,1987
"282",282,13.3,6,0.6,10,1987
"283",283,13.8,7.5,54.3,10,1987
"284",284,9.5,3.5,12.3,10,1987
"285",285,12.8,2.5,0.1,10,1987
"286",286,13.8,4.5,0.9,10,1987
"287",287,13.3,4.3,1,10,1987
"288",288,11.8,8,10.8,10,1987
"289",289,17.3,7.8,19.5,10,1987
"290",290,14.3,7,8.1,10,1987
"291",291,15,9.3,0.5,10,1987
"292",292,16.3,11.5,1.9,10,1987
"293",293,17.3,9.5,0.4,10,1987
"294",294,13.8,10.3,37.2,10,1987
"295",295,14.8,2.3,0.3,10,1987
"296",296,13.8,-0.8,0,10,1987
"297",297,10.3,1.3,0,10,1987
"298",298,11.3,-2.3,0,10,1987
"299",299,13.3,2.3,0,10,1987
"300",300,11.8,9,2.8,10,1987
"301",301,14.8,6,0.8,10,1987
"302",302,10.8,-1.8,0,10,1987
"303",303,11.8,4.5,0,10,1987
"304",304,12.3,8.5,0.3,10,1987
"305",305,12.8,10,2.1,11,1987
"306",306,11.3,1.5,0.1,11,1987
"307",307,8.5,4.5,0,11,1987
"308",308,11,7.3,0,11,1987
"309",309,11.8,7.8,0,11,1987
"310",310,12.3,1.3,0,11,1987
"311",311,7.5,5.5,0,11,1987
"312",312,7,5,0,11,1987
"313",313,7.8,5.8,11.7,11,1987
"314",314,8.3,7,0,11,1987
"315",315,9.8,3.3,1.8,11,1987
"316",316,12.3,4.5,19,11,1987
"317",317,8.3,4.3,0.9,11,1987
"318",318,8.3,3,0.1,11,1987
"319",319,9.3,3.3,3.2,11,1987
"320",320,12.8,8,0.2,11,1987
"321",321,12.5,6.8,0,11,1987
"322",322,12.5,6.8,0,11,1987
"323",323,12.5,8,1.5,11,1987
"324",324,12.5,4.3,8.4,11,1987
"325",325,10.3,3.3,0,11,1987
"326",326,8.8,4.8,0.5,11,1987
"327",327,8.8,2.3,2.1,11,1987
"328",328,6.5,1.8,0.2,11,1987
"329",329,8.5,5.5,0,11,1987
"330",330,6.8,4,0,11,1987
"331",331,6.3,-0.5,0,11,1987
"332",332,6.3,-3.3,0,11,1987
"333",333,4.5,-4.8,0,11,1987
"334",334,1.8,-3.3,0,11,1987
"335",335,5.5,1.5,0,12,1987
"336",336,6.8,4,0.9,12,1987
"337",337,5,2.5,0,12,1987
"338",338,4,1,0,12,1987
"339",339,6,4,0,12,1987
"340",340,7,5.3,0,12,1987
"341",341,6,3.3,0,12,1987
"342",342,5.3,-3,0,12,1987
"343",343,4.5,-2,0,12,1987
"344",344,4,-5,0,12,1987
"345",345,3,-5.3,0,12,1987
"346",346,4,-4.5,0,12,1987
"347",347,5,-1.5,0,12,1987
"348",348,5.5,-0.3,0,12,1987
"349",349,2.8,0.5,0,12,1987
"350",350,11,1,7.8,12,1987
"351",351,12,10,1.8,12,1987
"352",352,14,11,1.1,12,1987
"353",353,12.3,7.3,0,12,1987
"354",354,10.5,7.8,0,12,1987
"355",355,11,8.5,0,12,1987
"356",356,10.8,1.5,0,12,1987
"357",357,9.5,0.3,0,12,1987
"358",358,5,3,0.2,12,1987
"359",359,9.5,5,0.5,12,1987
"360",360,10,4.8,0,12,1987
"361",361,11.3,9.8,0,12,1987
"362",362,12.8,10.8,0,12,1987
"363",363,12.5,11.3,0,12,1987
"364",364,12.8,7.3,2.2,12,1987
"365",365,11.8,8.3,5.1,12,1987
"366",366,10.8,6,0,1,1988
"367",367,12,8.5,2.9,1,1988
"368",368,12.5,5.7,4.7,1,1988
"369",369,9,5.8,1.5,1,1988
"370",370,10.3,5.8,8.8,1,1988
"371",371,10,5.8,2.5,1,1988
"372",372,9,2.8,0.3,1,1988
"373",373,5.5,-2.8,0,1,1988
"374",374,11.5,5.8,1.1,1,1988
"375",375,12,5.8,1.4,1,1988
"376",376,8.5,2,0,1,1988
"377",377,7,2.3,0,1,1988
"378",378,7.8,4.5,5.2,1,1988
"379",379,8,4.3,5.4,1,1988
"380",380,9.3,1,1.2,1,1988
"381",381,5.3,0,0,1,1988
"382",382,1.8,-2.3,0,1,1988
"383",383,5.5,-1.8,0,1,1988
"384",384,8,5.3,0,1,1988
"385",385,3.3,3.5,1.2,1,1988
"386",386,6.8,-0.8,3.1,1,1988
"387",387,5.8,1.3,12.3,1,1988
"388",388,4,-1,0.2,1,1988
"389",389,10.5,1.5,6.6,1,1988
"390",390,10.8,4.5,12.3,1,1988
"391",391,8,5.3,1.9,1,1988
"392",392,7.5,2.3,0,1,1988
"393",393,6,2.8,11.5,1,1988
"394",394,9,4.8,9.1,1,1988
"395",395,6.5,2.8,9.9,1,1988
"396",396,7.5,2,0,1,1988
"397",397,8.8,2,14.9,2,1988
"398",398,9.3,5.3,3.5,2,1988
"399",399,7,2.5,1.4,2,1988
"400",400,9.3,1.8,5.8,2,1988
"401",401,7.5,1,1.2,2,1988
"402",402,9.5,1,0,2,1988
"403",403,7,1,0,2,1988
"404",404,7,1.5,7.1,2,1988
"405",405,9.8,2.5,3.3,2,1988
"406",406,6.8,1.3,1,2,1988
"407",407,7,1.3,2.8,2,1988
"408",408,6.5,-0.8,0,2,1988
"409",409,7,-2.5,0,2,1988
"410",410,9,6.3,2.9,2,1988
"411",411,11.5,-0.3,0,2,1988
"412",412,13.5,2,0,2,1988
"413",413,7.5,-0.3,0,2,1988
"414",414,8.3,1.8,0,2,1988
"415",415,9.8,4,0,2,1988
"416",416,11,5.5,0,2,1988
"417",417,9.3,5,0,2,1988
"418",418,9.3,-0.8,0,2,1988
"419",419,9.8,2.3,0,2,1988
"420",420,6.5,0.8,0,2,1988
"421",421,4.8,0.3,0.2,2,1988
"422",422,5.3,-3,0.2,2,1988
"423",423,5,-1.8,0,2,1988
"424",424,7.3,3,0.4,2,1988
"425",425,8.8,-0.5,0.7,2,1988
"426",426,4.3,-1.5,0,3,1988
"427",427,5.8,-2.8,0,3,1988
"428",428,6.3,0.8,0.1,3,1988
"429",429,8.5,-0.8,3.1,3,1988
"430",430,14.5,4.3,0,3,1988
"431",431,5.5,-4,0,3,1988
"432",432,6.8,1,0,3,1988
"433",433,9.3,5,0.1,3,1988
"434",434,7.8,3,0.2,3,1988
"435",435,8.3,3.8,0,3,1988
"436",436,11.3,3.8,3.5,3,1988
"437",437,9.5,2.8,0.1,3,1988
"438",438,10.5,7,0,3,1988
"439",439,10.5,6,0,3,1988
"440",440,10.3,6.8,1.8,3,1988
"441",441,9.8,6.3,4.8,3,1988
"442",442,10.5,5.3,7,3,1988
"443",443,11,3.5,0.1,3,1988
"444",444,9,3.3,1.2,3,1988
"445",445,10.8,5.3,6.4,3,1988
"446",446,11.5,8.3,3.1,3,1988
"447",447,11.5,7.5,11.2,3,1988
"448",448,13.3,4.8,0.5,3,1988
"449",449,13.8,5.8,1,3,1988
"450",450,12,7,0.3,3,1988
"451",451,12.8,6,6.7,3,1988
"452",452,12.3,5.5,0.2,3,1988
"453",453,11,5.5,0,3,1988
"454",454,12.3,3.8,0.5,3,1988
"455",455,9.8,5,1.5,3,1988
"456",456,8.3,4,7.5,3,1988
"457",457,9.8,3.3,0,3,1988
"458",458,10.8,-1.8,0.6,4,1988
"459",459,11.5,6.3,0,4,1988
"460",460,13,-0.5,0,4,1988
"461",461,11.5,4.5,0,4,1988
"462",462,8.5,4.8,0,4,1988
"463",463,12.8,2.8,0,4,1988
"464",464,13,3.8,0,4,1988
"465",465,12.5,0.5,5.9,4,1988
"466",466,6,-3.8,0.9,4,1988
"467",467,12,-1,0,4,1988
"468",468,15.5,1.5,0,4,1988
"469",469,14.8,-0.3,0,4,1988
"470",470,15,-2.5,0,4,1988
"471",471,10.8,6,0,4,1988
"472",472,12.5,10.8,2.3,4,1988
"473",473,13.8,10.3,3.3,4,1988
"474",474,16.8,7,0,4,1988
"475",475,17.3,11,7.5,4,1988
"476",476,15.3,8.8,3.5,4,1988
"477",477,16.3,8,0,4,1988
"478",478,15.5,5,0,4,1988
"479",479,10.5,4.5,0,4,1988
"480",480,10,-1,0,4,1988
"481",481,11.3,-1.5,0,4,1988
"482",482,12.5,-1,0,4,1988
"483",483,14.8,6,0,4,1988
"484",484,11.5,3.3,0,4,1988
"485",485,11.3,4.5,0.3,4,1988
"486",486,12.5,7.5,1.6,4,1988
"487",487,15.3,9,5.9,5,1988
"488",488,14.3,8.3,2.3,5,1988
"489",489,15,8,1.5,5,1988
"490",490,14.3,9.5,1.3,5,1988
"491",491,14.8,4.8,1.4,5,1988
"492",492,17,3.5,0,5,1988
"493",493,20,6.5,0,5,1988
"494",494,19,12.5,8.5,5,1988
"495",495,22.3,11.5,0,5,1988
"496",496,13.8,10,0,5,1988
"497",497,17.3,5.5,0,5,1988
"498",498,15.5,9.3,3.1,5,1988
"499",499,18.8,7.5,1.7,5,1988
"500",500,19.5,8.3,0,5,1988
"501",501,23.5,10,0,5,1988
"502",502,23,8.5,0,5,1988
"503",503,21.8,4.5,0,5,1988
"504",504,20.5,7,1.7,5,1988
"505",505,11,5.5,0,5,1988
"506",506,13.3,0,0,5,1988
"507",507,15.1,2,0,5,1988
"508",508,15.9,3,0,5,1988
"509",509,18,8,0.2,5,1988
"510",510,16.8,8.3,2.1,5,1988
"511",511,17,11,0,5,1988
"512",512,19,10.3,0,5,1988
"513",513,18.8,5,0.6,5,1988
"514",514,18,6.8,0,5,1988
"515",515,17.5,9.8,3.2,5,1988
"516",516,15.3,9.3,1.8,5,1988
"517",517,15.5,9.5,10,5,1988
"518",518,17.3,7,0,6,1988
"519",519,17.3,11.3,1.3,6,1988
"520",520,16.5,7.8,0,6,1988
"521",521,15.5,8,7.4,6,1988
"522",522,14.8,6.3,3.2,6,1988
"523",523,14.8,7.8,0,6,1988
"524",524,16.5,4.5,0,6,1988
"525",525,18.5,9,1.9,6,1988
"526",526,15.5,11.3,9.8,6,1988
"527",527,12.5,11,0.4,6,1988
"528",528,13.4,9.3,0.1,6,1988
"529",529,15.5,9.8,0,6,1988
"530",530,19.3,9.8,0,6,1988
"531",531,23,7.3,0,6,1988
"532",532,23,10.8,0,6,1988
"533",533,21,11.8,0,6,1988
"534",534,21,10.8,0,6,1988
"535",535,15.8,10,0.2,6,1988
"536",536,19.6,9,0,6,1988
"537",537,24.5,11,0,6,1988
"538",538,21.8,13.5,0,6,1988
"539",539,21.5,12.3,0,6,1988
"540",540,20.5,8,0,6,1988
"541",541,24.3,9.8,0,6,1988
"542",542,21.3,12.5,0,6,1988
"543",543,23,12.3,0.1,6,1988
"544",544,19.8,11.3,0,6,1988
"545",545,16,11.8,6.5,6,1988
"546",546,17.5,13,2.8,6,1988
"547",547,20.5,13.5,0,6,1988
"548",548,23.8,13,5.1,7,1988
"549",549,18.8,9.3,1.4,7,1988
"550",550,17.8,5.8,3.2,7,1988
"551",551,16.5,12,23.7,7,1988
"552",552,16.8,11.3,6.9,7,1988
"553",553,19.5,11.3,7.4,7,1988
"554",554,18.5,11.8,2.4,7,1988
"555",555,18.3,10.5,0.2,7,1988
"556",556,18.5,10.3,0,7,1988
"557",557,18.3,14.3,0,7,1988
"558",558,18,10.5,4.2,7,1988
"559",559,19.5,10.3,0.1,7,1988
"560",560,18.8,12.5,3.7,7,1988
"561",561,18.5,10.3,2.7,7,1988
"562",562,17.3,12,0.1,7,1988
"563",563,18.3,9,0,7,1988
"564",564,17,14.3,14.4,7,1988
"565",565,18.5,12.5,0.3,7,1988
"566",566,21.5,10,0,7,1988
"567",567,21.5,14.3,0,7,1988
"568",568,21.5,14,0.5,7,1988
"569",569,17.8,17.2,4.8,7,1988
"570",570,20.4,15.5,8.3,7,1988
"571",571,20.4,10.5,0.7,7,1988
"572",572,19.3,12.8,1,7,1988
"573",573,20,10.8,0.1,7,1988
"574",574,19.3,9,1.1,7,1988
"575",575,19,12.8,1.2,7,1988
"576",576,16.3,9.8,0,7,1988
"577",577,18.3,9.8,3.4,7,1988
"578",578,18.3,10.8,2,7,1988
"579",579,19.3,10.5,1.5,8,1988
"580",580,19.5,9.3,0,8,1988
"581",581,18.5,8,1.2,8,1988
"582",582,18.8,9.5,0,8,1988
"583",583,20.3,14.5,0,8,1988
"584",584,20,8,0,8,1988
"585",585,27.5,10.3,0,8,1988
"586",586,27.8,9.5,0,8,1988
"587",587,25.5,15.5,0.6,8,1988
"588",588,21.5,8.8,0,8,1988
"589",589,19.5,11.3,0,8,1988
"590",590,21.5,13.5,1,8,1988
"591",591,19.5,10.8,0,8,1988
"592",592,19.5,13.5,0,8,1988
"593",593,21,13,0,8,1988
"594",594,21.8,12.3,0,8,1988
"595",595,23.5,7.3,0,8,1988
"596",596,25.5,8.5,0,8,1988
"597",597,23.5,14.5,6.4,8,1988
"598",598,20.5,12,6,8,1988
"599",599,19,12.5,1.9,8,1988
"600",600,16.8,9.8,0,8,1988
"601",601,18.5,10.3,0,8,1988
"602",602,18.3,13.5,0.7,8,1988
"603",603,18.3,9.8,0.7,8,1988
"604",604,17,10.8,0,8,1988
"605",605,18.8,15,0,8,1988
"606",606,15,12.8,0,8,1988
"607",607,18,7,1.8,8,1988
"608",608,18.8,9.8,0,8,1988
"609",609,18.5,12,20.2,8,1988
"610",610,19,11.8,20.8,9,1988
"611",611,17.5,11.3,3.8,9,1988
"612",612,16.8,10.3,0,9,1988
"613",613,17.5,8.5,0,9,1988
"614",614,18.8,11.1,0.5,9,1988
"615",615,21,7,0,9,1988
"616",616,23.5,8.5,0,9,1988
"617",617,25.3,12,0,9,1988
"618",618,24.3,12.8,0,9,1988
"619",619,21.8,7.8,0,9,1988
"620",620,21.8,9.8,0,9,1988
"621",621,18.3,8.8,0,9,1988
"622",622,17.5,8.8,2.6,9,1988
"623",623,14.8,8.8,7.4,9,1988
"624",624,14,7.5,0,9,1988
"625",625,15,9,0.6,9,1988
"626",626,18,11.5,0,9,1988
"627",627,15.5,11,0,9,1988
"628",628,16.8,3.8,0,9,1988
"629",629,16.5,4.5,0,9,1988
"630",630,12.3,5.5,0,9,1988
"631",631,16.5,11.5,0,9,1988
"632",632,17,9.5,5,9,1988
"633",633,15.8,10,0,9,1988
"634",634,15.3,14,2.6,9,1988
"635",635,19,15.5,0,9,1988
"636",636,17.3,15.3,3,9,1988
"637",637,16,11,10.5,9,1988
"638",638,15,7,1.5,9,1988
"639",639,14.1,0.5,0,9,1988
"640",640,13.5,-1,0,10,1988
"641",641,15.3,-0.8,0,10,1988
"642",642,15.5,4.5,0,10,1988
"643",643,17,7.5,0,10,1988
"644",644,15,9.5,4.1,10,1988
"645",645,14.8,10.8,11.7,10,1988
"646",646,13.8,8.8,3.7,10,1988
"647",647,12.5,5.8,0,10,1988
"648",648,13.8,9,21.9,10,1988
"649",649,12.5,5,8.9,10,1988
"650",650,12.3,0.8,0,10,1988
"651",651,13.3,7.3,5.9,10,1988
"652",652,12.5,5,3.9,10,1988
"653",653,13,4.8,0,10,1988
"654",654,16.3,11,0,10,1988
"655",655,13.5,12.8,0,10,1988
"656",656,14.3,12.5,0,10,1988
"657",657,14.3,12.3,0.5,10,1988
"658",658,17.3,12.8,0.8,10,1988
"659",659,17.8,11.5,0.5,10,1988
"660",660,15.4,-2.3,0,10,1988
"661",661,15.8,5.9,0,10,1988
"662",662,16.7,7.9,0,10,1988
"663",663,14.8,10.5,0.3,10,1988
"664",664,16,10.3,5.4,10,1988
"665",665,15.3,12.8,0,10,1988
"666",666,16.5,13,0,10,1988
"667",667,15.5,9.5,0,10,1988
"668",668,13.8,0,0,10,1988
"669",669,10.3,-2.3,0,10,1988
"670",670,9.3,-2,0,10,1988
"671",671,9.3,-3.5,0,11,1988
"672",672,10.5,-0.8,0,11,1988
"673",673,10,-3.3,0,11,1988
"674",674,7.5,-3.5,0,11,1988
"675",675,6.8,-3,0,11,1988
"676",676,7.8,-1.5,0,11,1988
"677",677,9.3,-1.5,0,11,1988
"678",678,10,2,0,11,1988
"679",679,13.8,6,1.5,11,1988
"680",680,15.3,13,0,11,1988
"681",681,15,6,0.3,11,1988
"682",682,12.8,9.5,0.3,11,1988
"683",683,10.8,3.5,0,11,1988
"684",684,9.8,1.5,0,11,1988
"685",685,10.3,-1.3,0,11,1988
"686",686,5.5,-1.5,0,11,1988
"687",687,12,1,0,11,1988
"688",688,13,8.8,0.3,11,1988
"689",689,10,0,0,11,1988
"690",690,6,0.5,2.6,11,1988
"691",691,4.5,-1.3,0.5,11,1988
"692",692,2.3,-4.8,0,11,1988
"693",693,3.5,-2.5,0.1,11,1988
"694",694,5.5,-5.3,0,11,1988
